Tiempo,Carga,Extension_de_traccion,Esfuerzo_de_traccion,Deformacion_dos,Deformacion_media,Desplazamiento_Deformacion_uno,Desplazamiento_Deformacion_dos
0,0.4814,0,0.01203,0,0,0,0
0.1,1.26504,5,0.03163,0,0,0.00021,0
0.2,6.29606,0.01594,0.1574,0,0,0.0022,0
0.3,10.21273,0.02516,0.25532,0,0,0.00373,0
0.4,13.6694,0.03281,0.34174,0,0,0.0053,0
0.5,17.44972,0.04187,0.43624,0,0,0.00669,0
0.6,20.6948,0.04984,0.51737,0,0,0.00815,0
0.7,24.5958,0.05812,0.6149,0,0,0.00979,0
0.8,27.86205,0.06656,0.69655,0,0,0.01082,0
0.9,31.40021,75,0.78501,0,0,0.01238,0
1,34.56772,0.08391,0.86419,0,0,0.01343,0
1.1,37.54009,0.09109,0.9385,0,0,0.01496,0
1.2,41.2969,0.10031,1.03242,0,0,0.01622,0
1.3,44.68696,0.10828,1.11717,0,0,0.01767,0
1.4,48.37324,0.11687,1.20933,0,0,0.01918,0
1.5,51.47413,125,1.28685,0,0,0.02037,0
1.6,54.95431,0.13328,1.37386,0,0,0.02186,0
1.7,58.27071,0.14172,1.45677,0,0,0.02344,0
1.8,61.77675,0.14969,1.54442,0,0,0.02473,0
1.9,65.03985,0.15812,1626,0,0,0.02599,0
2,67.37669,0.16656,1.68442,0,0,0.02792,0
2.1,67.5538,0.17547,1.68884,0,0,0.03083,0
2.2,69.18457,0.18312,1.72961,0,0,0.03414,0
2.3,71.18208,0.19187,1.77955,0,0,0.0375,0
2.4,73.53695,0.19984,1.83842,0,0,0.03993,0
2.5,76.40275,0.20797,1.91007,0,0,0.04326,0
2.6,79.27246,0.21672,1.98181,0,0,0.04515,0
2.7,82.04188,0.22469,2.05105,0,0,0.04726,0
2.8,84.95234,0.23406,2.12381,0,0,0.0489,0
2.9,87.6379,0.24156,2.19095,0,0,0.05088,0
3,90.9206,0.25047,2.27302,0,0,0.05293,0
3.1,94.00582,0.25812,2.35015,0,0,0.05491,0
3.2,97.32614,0.26656,2.43315,0,0,0.05672,0
3.3,99.49763,0.27484,2.48744,0,0,0.05817,0
3.4,102.60714,0.28328,2.56518,0,0,0.06021,0
3.5,105.03487,0.29187,2.62587,0,0,0.06158,0
3.6,107.67106,0.29953,2.69178,0,0,0.06294,0
3.7,110.6552,0.30891,2.76638,0,0,0.0647,0
3.8,113.19735,0.31641,2.82993,0,0,0.06614,0
3.9,116.31156,0.32531,2.90779,0,0,0.06778,0
4,118.83648,0.33312,2.97091,0,0,0.06895,0
4.1,121.84725,0.34172,3.04618,0,0,0.07041,0
4.2,124.89094,0.35,3.12227,0,0,0.07175,0
4.3,127.97773,0.35766,3.19944,0,0,73,0
4.4,131.32312,0.36687,3.28308,0,0,0.07446,0
4.5,134.60738,0.37484,3.36518,0,0,0.07574,0
4.6,137.58603,0.38391,3.43965,0,0,0.07688,0
4.7,140.59054,0.39156,3.51476,0,0,0.07813,0
4.8,144.02134,0.40031,3.60053,0,0,0.07977,0
4.9,146.89969,0.40828,3.67249,0,0,0.08105,0
5,150.32814,0.41641,3.7582,0,0,0.08227,0
5.1,153.40945,0.42484,3.83524,0,0,0.08361,0
5.2,156.79637,0.43312,3.91991,0,0,0.08518,0
5.3,160.06575,0.44219,4.00164,0,0,0.08656,0
5.4,162.95662,0.44953,4.07392,0,0,0.08755,0
5.5,166.6288,0.45891,4.16572,0,0,0.08898,0
5.6,169.84959,0.46656,4.24624,0,0,0.09042,0
5.7,173.23964,0.47484,4.33099,0,0,0.0922,0
5.8,176.14542,0.48328,4.40364,0,0,0.09353,0
5.9,179.61697,0.49141,4.49042,0,0,0.0946,0
6,182.99998,0.50047,4575,0,0,0.09621,0
6.1,185.67065,0.50766,4.64177,0,0,0.09789,0
6.2,189.01291,0.51703,4.72532,0,0,0.09947,0
6.3,192.47428,0.52484,4.81186,0,0,0.10082,0
6.4,196.05162,0.53359,4.90129,0,0,0.10218,0
6.5,198.93073,0.54172,4.97327,0,0,0.1033,0
6.6,202.46734,0.55031,5.06168,0,0,0.10459,0
6.7,205.77747,0.55859,5.14444,0,0,0.10627,0
6.8,209.03745,0.56609,5.22594,0,0,0.10729,0
6.9,212.51685,0.57531,5.31292,0,0,0.10878,0
7,215.58404,0.58312,5.3896,0,0,0.11021,0
7.1,218.9694,0.59219,5.47424,0,0,0.11167,0
7.2,221.92062,0.59969,5.54802,0,0,0.11289,0
7.3,225.70251,0.60859,5.64256,0,0,0.11433,0
7.4,228.85669,0.61672,5.72142,0,0,0.11555,0
7.5,232.07434,0.62453,5.80186,0,0,0.11702,0
7.6,235.31471,0.63328,5.88287,0,0,0.11834,0
7.7,238.95712,0.64156,5.97393,0,0,0.12002,0
7.8,241.84878,0.65031,6.04622,0,0,0.12101,0
7.9,244.8431,0.65797,6.12108,0,0,0.12261,0
8,248.37106,0.66687,6.20928,0,0,0.12376,0
8.1,251.66476,0.67484,6.29162,0,0,0.1252,0
8.2,255.38942,0.68312,6.38474,0,0,0.12686,0
8.3,258.3469,0.69141,6.45867,0,0,0.12812,0
8.4,261.54655,0.7,6.53866,0,0,0.12955,0
8.5,264.87156,0.70891,6.62179,0,0,0.13097,0
8.6,268.08844,0.71625,6.70221,0,0,0.13215,0
8.7,271.16816,0.72531,6.7792,0,0,0.13368,0
8.8,274.45478,0.73328,6.86137,0,0,0.13516,0
8.9,278.0149,0.74187,6.95037,0,0,0.13664,0
9,280.95045,0.75,7.02376,0,0,0.13794,0
9.1,284.62496,0.75828,7.11562,0,0,0.13945,0
9.2,287.67178,0.76672,7.19179,0,0,0.1406,0
9.3,290.87847,0.77469,7.27196,0,0,0.14211,0
9.4,294.10946,0.78312,7.35274,0,0,0.14332,0
9.5,297.53477,0.79156,7.43837,0,0,0.14494,0
9.6,300.98832,0.80047,7.52471,0,0,0.1463,0
9.7,303.88625,0.80812,7.59716,0,0,0.14734,0
9.8,307.49885,0.81672,7.68747,0,0,0.14916,0
9.9,310.56528,0.82484,7.76413,0,0,0.15044,0
10,313.85189,0.83297,7.8463,0,0,0.15182,0
10.1,317.33208,0.84172,7.9333,0,0,0.15312,0
10.2,320.42982,0.84984,8.01075,0,0,0.15458,0
10.3,324.00952,0.85906,8.10024,0,0,0.15588,0
10.4,327.00854,0.86656,8.17521,0,0,0.15732,0
10.5,330.33357,0.87531,8.25834,0,0,0.15893,0
10.6,333.76124,0.88328,8.34403,0,0,0.16014,0
10.7,337.07372,0.89156,8.42684,0,0,0.16155,0
10.8,340.19733,0.89984,8.50493,0,0,0.16283,0
10.9,343.65715,0.90828,8.59143,0,0,0.16443,0
11,346.85521,0.91672,8.67138,0,0,0.16557,0
11.1,349.97726,0.92453,8.74943,0,0,0.16694,0
11.2,353.62435,0.93391,8.84061,0,0,0.16839,0
11.3,356.64062,0.94125,8.91602,0,0,0.16988,0
11.4,360.22346,0.95031,9.00559,0,0,0.17136,0
11.5,363.24519,0.95812,9.08113,0,0,0.17255,0
11.6,366.60626,0.96687,9.16516,0,0,174,0
11.7,369.82785,975,9.2457,0,0,0.17505,0
11.8,372.90365,0.98266,9.32259,0,0,0.17656,0
11.9,376.10328,0.99187,9.40258,0,0,0.17778,0
12,378.52554,0.99984,9.46314,0,0,0.17845,0
12.1,381.64447,1.00891,9.54111,0,0,0.17832,0
12.2,384.67874,1.01656,9.61697,0,0,0.18085,0
12.3,388.26549,1.02531,9.70664,0,0,0.18328,0
12.4,391.05369,1.03328,9.77634,0,0,0.1839,0
12.5,394.6295,1.04141,9.86574,0,0,0.18416,0
12.6,397.6638,1.04984,9.9416,0,0,0.18562,0
12.7,401.1706,1.05812,10.02927,0,0,0.18802,0
12.8,404.4909,1.06719,10.11227,0,0,0.18992,0
12.9,407.48524,1.07453,10.18713,0,0,0.18992,0
13,411.03517,1.08391,10.27588,0,0,0.19099,0
13.1,414.16977,1.09156,10.35424,0,0,0.19277,0
13.2,417.29808,1.09984,10.43245,0,0,0.1952,0
13.3,420.5259,1.10828,10.51315,0,0,0.19637,0
13.4,424.11187,1.11641,10.6028,0,0,0.19688,0
13.5,427.07562,1.12547,10.67689,0,0,0.19803,0
13.6,430.32933,1.13266,10.75823,0,0,0.20001,0
13.7,433.59324,1.14203,10.83983,0,0,0.20214,0
