hip1x,hip1y,hip1z,hip2x,hip2y,hip2z,hip3x,hip3y,hip3z,hip4x,hip4y,hip4z,lkneex,lkneey,lkneez,lankx,lanky,lankz,rkneex,rkneey,rkneez,rankx,ranky,rankz
212.261108,1573.258667,890.22345,6.671754,1589.141113,886.835022,162.722412,1361.780762,893.142822,-12.780403,1399.376831,871.90918,210.89827,1343.092896,455.067474,177.529678,1373.838135,99.51532,-31.761415,1460.797974,413.491241,-1.025062,1785.993896,201.657349
213.190231,1561.989014,891.802002,7.683074,1578.115845,886.569397,163.560013,1350.325073,894.38916,-12.163408,1388.203369,873.648926,211.471161,1336.41687,455.156494,177.573776,1373.695313,99.61657,-32.460735,1438.91272,414.247162,-1.682039,1765.965454,205.77626
213.942764,1551.080566,893.27356,8.503613,1567.041382,886.701599,164.302612,1339.169067,895.842163,-11.288996,1377.03894,875.612488,212.044235,1331.315308,454.595154,177.913712,1373.1073,99.472466,-33.231411,1417.19165,415.64621,-5.736759,1748.651733,212.35376
214.526123,1540.400513,894.541077,9.138594,1555.911011,887.297241,165.265656,1328.346313,897.447449,-10.192315,1365.93396,877.76593,212.610855,1326.37793,454.009308,178.498917,1372.16748,99.139458,-34.097553,1395.800781,417.880463,-2.840285,1723.260986,210.349838
214.9758,1529.964966,895.629028,9.570448,1544.856323,888.371521,166.622253,1317.645752,898.765747,-8.921255,1354.955933,880.057922,213.283752,1321.624878,453.380249,179.083405,1371.377075,98.869194,-34.741207,1374.824219,420.697113,-3.359927,1700.918213,210.802887
215.261032,1519.749146,896.54718,9.813882,1533.859253,889.838501,168.485062,1307.124268,900.171509,-7.515155,1343.942017,882.44812,213.908646,1317.301636,452.698395,179.399994,1370.918213,98.838478,-35.30307,1354.204834,423.737274,-3.927491,1678.116943,210.119553
215.364822,1509.741943,897.288818,9.816995,1522.772583,891.454773,170.775192,1296.630249,900.76532,-5.876866,1332.830078,884.835205,214.617203,1313.463867,452.067474,179.463379,1370.665649,98.991333,-35.610107,1333.811035,426.888153,-4.989968,1655.355347,208.482849
215.292068,1499.946533,897.887329,9.650201,1511.777954,893.055969,172.927353,1286.454956,901.630737,-4.071771,1321.646606,887.088257,215.281754,1310.032349,451.406311,179.396698,1370.39856,99.179291,-35.633602,1313.741089,430.064484,-6.022451,1632.038574,205.932724
215.018188,1490.360596,898.368286,9.306824,1500.802246,894.452026,174.876038,1275.772461,902.482178,-2.291949,1310.515869,889.187561,215.824615,1306.729126,450.747223,179.304031,1370.131836,99.349503,-35.599171,1293.941406,433.348389,-6.863357,1607.991943,202.400864
214.590851,1480.917358,898.702454,8.805636,1489.928223,895.546143,176.909821,1265.943848,903.249695,-0.456496,1299.509399,891.001099,216.36644,1303.471436,450.166473,179.293365,1369.803711,99.522575,-35.471195,1274.543701,436.688873,-6.740674,1582.374146,197.183441
214.049179,1471.682983,898.962952,8.214574,1479.118042,896.309937,179.313217,1256.156494,903.024902,1.28266,1288.619751,892.571472,217.003784,1300.189331,449.615356,179.272873,1369.476685,99.680702,-35.134552,1255.603516,440.047852,-6.505997,1556.048096,191.032944
213.437759,1462.595947,899.141174,7.546978,1468.436157,896.842346,181.004044,1246.742065,903.137817,2.930726,1277.945313,893.947083,217.777679,1296.963135,449.065765,179.330673,1369.328003,99.760201,-34.759098,1237.210083,443.423767,-4.055448,1526.770874,182.753937
212.832245,1453.643555,899.263245,6.917109,1457.891602,897.227478,182.913864,1237.312744,902.587402,4.463647,1267.536987,895.002808,218.569946,1293.84021,448.485809,179.419647,1369.081909,99.934677,-33.945423,1218.850098,446.770752,-3.691357,1499.21521,175.392044
212.245529,1444.731812,899.323425,6.347226,1447.526123,897.490601,184.184372,1227.962158,902.783325,5.800105,1257.32666,895.78772,219.384079,1290.742188,447.8815,179.459702,1368.758789,100.125473,-33.184448,1201.380493,449.971771,-5.511622,1473.61853,167.952652
211.744858,1435.806396,899.31897,5.840373,1437.259399,897.543823,185.429367,1218.704712,902.1651,6.853094,1247.330078,896.279663,220.066086,1287.685303,447.188171,179.441116,1368.364868,100.359192,-32.44437,1184.365967,453.118652,-4.949677,1444.519409,159.834915
211.365158,1426.861694,899.235291,5.460655,1427.265381,897.466858,186.848801,1209.424927,901.316406,7.671095,1237.499634,896.497864,220.603882,1284.643311,446.49585,179.330261,1367.89563,100.647041,-31.622828,1168.004517,456.116577,-4.322091,1414.805908,151.54892
211.077301,1417.881348,899.076782,5.200364,1417.43689,897.227112,187.286224,1200.21936,900.31366,8.245494,1227.818604,896.613281,220.969589,1281.596802,445.820038,179.185013,1367.464722,100.97393,-30.725725,1152.267822,458.949738,-3.777087,1384.689209,143.324173
210.898254,1408.939697,898.832581,5.019578,1407.799194,896.81543,188.632446,1191.039795,899.603516,8.695572,1218.351074,896.511108,221.363647,1278.535156,445.201508,179.046478,1367.050903,101.276581,-29.720276,1137.165039,461.599945,-3.18312,1354.1427,135.298691
210.719162,1399.897217,898.474976,4.83851,1398.318726,896.316711,188.514694,1182.013672,898.954346,9.069963,1208.950073,896.338562,221.748062,1275.391846,444.690796,179.009415,1366.741699,101.616592,-28.607964,1122.671997,464.108521,-2.606647,1323.268311,127.642838
210.563614,1390.853149,898.026855,4.684499,1388.922607,895.755188,188.631836,1173.69873,897.319824,9.299832,1199.194336,896.122009,222.110703,1272.188843,444.18634,178.847122,1366.428345,102.054901,-27.371542,1108.775757,466.448944,-1.921505,1292.122803,120.478622
210.388504,1381.757446,897.566467,4.534322,1379.512573,895.148254,189.447601,1163.766235,897.017273,9.575601,1189.872559,895.644287,222.535385,1268.949219,443.76178,178.715836,1366.09021,102.618698,-25.949619,1095.420044,468.529144,-1.200556,1260.124023,113.335129
210.248322,1372.590454,897.098022,4.393347,1370.058228,894.489014,189.650589,1154.633057,895.846619,9.748352,1180.501953,895.012939,222.90181,1265.643799,443.331635,178.631897,1365.766602,103.260757,-24.415419,1082.566772,470.350952,-0.483676,1228.827393,107.578972
210.113663,1363.320313,896.624268,4.264808,1360.56958,893.820435,189.784988,1145.993774,894.497192,9.889581,1170.998779,894.19696,223.225266,1262.275024,442.879608,178.578918,1365.431885,103.955612,-22.768606,1070.284546,471.806915,0.505516,1197.55249,102.44796
209.970856,1354.031494,896.148804,4.142681,1351.059814,893.164001,189.959274,1136.537231,893.069031,10.026498,1161.452759,893.244568,223.513824,1258.817749,442.448547,178.371155,1365.050903,104.46064,-21.179588,1058.539185,472.925873,2.209593,1165.394897,97.764496
209.789307,1344.639282,895.63385,3.956535,1341.297363,892.438477,190.205353,1127.199951,891.526855,10.188601,1151.752075,892.183044,223.702423,1255.290649,442.015289,178.333694,1364.829102,105.322952,-19.560369,1047.286865,473.646271,3.795827,1134.552368,94.172935
209.555969,1335.223877,895.151733,3.739009,1331.429688,891.69928,190.425064,1117.729126,889.846191,10.381913,1141.937378,890.989075,223.885941,1251.632568,441.617584,178.421402,1364.322266,106.1175,-18.048468,1036.558105,474.002136,5.526042,1103.80127,90.82943
209.243576,1325.71875,894.677246,3.431113,1321.36731,890.9245,190.71875,1108.176636,888.148193,10.560835,1131.964233,889.6745,224.103195,1247.758057,441.25116,178.630295,1363.717041,106.95388,-16.70916,1026.369751,473.976349,6.545574,1074.133789,88.64917
208.84993,1316.215576,894.260681,3.031437,1311.085205,890.071167,191.061493,1098.569336,886.405212,10.785726,1121.725586,888.214661,224.343811,1243.594482,440.942688,178.946716,1363.068115,107.868019,-15.466969,1016.551025,473.622192,8.299583,1045.262451,87.256111
208.287659,1306.546509,893.799805,2.525025,1300.603516,889.13855,191.372375,1088.863159,884.698975,11.033276,1111.246216,886.71405,224.58873,1239.062622,440.697632,179.376282,1362.329346,108.883949,-14.261572,1007.024414,472.926727,10.236599,1017.894958,86.908859
207.578033,1296.921021,893.39978,1.845154,1289.942505,888.151978,191.755173,1079.103516,883.091125,11.329155,1100.583496,885.134216,224.906326,1234.115601,440.544678,179.92012,1361.54126,109.992821,-12.985705,997.747009,472.051208,11.934131,991.267029,86.584587
206.694977,1287.239746,893.000122,1.018635,1279.03772,887.091309,192.256927,1069.28186,881.612793,11.671367,1089.692505,883.520447,225.241562,1228.735352,440.39505,180.503677,1360.588379,111.241722,-11.666175,988.755981,471.143219,13.883646,966.195679,86.83757
205.688202,1277.483032,892.576965,0.083689,1267.950684,886.022766,192.765579,1059.374878,880.195313,12.071834,1078.696411,881.82135,225.652039,1222.909546,440.155182,181.156845,1359.430908,112.561935,-10.363343,979.809509,470.067749,15.661631,942.969482,87.467712
