hip1x,hip1y,hip1z,hip2x,hip2y,hip2z,hip3x,hip3y,hip3z,lkneex,lkneey,lkneez,lankx,lanky,lankz,rkneex,rkneey,rkneez,rankx,ranky,rankz
31.326439,1756.026001,893.280273,-171.782257,1711.182495,889.085388,-113.308609,1528.017334,874.482483,-154.27124,1435.005127,562.619202,-166.555313,1567.744995,253.856064,89.949547,1587.220459,534.433289,84.605019,1675.37793,217.855515
30.706894,1750.588013,893.08136,-172.245453,1705.637329,888.794739,-113.917358,1522.519653,873.35553,-154.382614,1428.873657,564.616211,-165.619095,1545.061279,251.643356,89.531906,1584.610352,533.551514,84.293152,1674.978882,217.334915
30.042875,1744.974609,892.873047,-172.743958,1699.817993,888.461548,-114.435333,1516.78064,872.217651,-154.3647,1422.932251,566.160461,-164.783066,1523.400024,249.601517,89.113693,1581.886719,532.651611,83.966476,1674.463989,216.806808
29.334465,1739.185547,892.655518,-173.27774,1693.724854,888.085815,-114.862679,1510.799927,871.069153,-154.216446,1417.176392,567.253357,-164.046646,1502.765381,247.728531,88.694992,1579.048706,531.733643,83.625114,1673.832886,216.271545
28.581919,1733.221191,892.429138,-173.846634,1687.358154,887.668213,-115.199913,1504.577881,869.910828,-153.935654,1411.591919,567.898865,-163.408401,1483.167847,246.018616,88.27607,1576.092896,530.79834,83.269402,1673.083862,215.730026
27.785833,1727.081299,892.19458,-174.450302,1680.718994,887.209534,-115.448212,1498.115112,868.744385,-153.519592,1406.151489,568.105469,-162.866013,1464.627197,244.460373,87.857391,1573.012939,529.846802,82.900009,1672.213867,215.18425
26.947338,1720.765869,891.953369,-175.088074,1673.810059,886.711731,-115.609871,1491.41272,867.572754,-152.965714,1400.812744,567.887085,-162.416534,1447.171631,243.035583,87.439583,1569.797241,528.881226,82.518166,1671.217041,214.638077
26.068316,1714.275269,891.707397,-175.758682,1666.63501,886.177856,-115.688744,1484.473755,866.400818,-152.2733,1395.516724,567.265564,-162.056656,1430.837402,241.719101,87.023384,1566.429321,527.905273,82.125809,1670.084595,214.097595
25.151602,1707.609863,891.460022,-176.460144,1659.201172,885.612671,-115.690758,1477.301758,865.235291,-151.445038,1390.193359,566.271179,-161.782745,1415.661621,240.479767,86.609444,1562.885864,526.923706,81.725594,1668.803833,213.571854
24.201143,1700.771484,891.215149,-177.189667,1651.517944,885.022705,-115.624344,1469.902954,864.084961,-150.488617,1384.765015,564.942749,-161.590805,1401.677002,239.282654,86.198151,1559.137207,525.943115,81.321053,1667.358154,213.073227
23.222069,1693.761719,890.977905,-177.943451,1643.599487,884.41687,-115.500725,1462.286499,862.961182,-149.418289,1379.156372,563.327332,-161.476456,1388.904785,238.092514,85.789459,1555.148071,524.971313,80.916473,1665.726685,212.617737
22.220652,1686.58374,890.7547,-178.71698,1635.463623,883.806274,-115.334053,1454.463745,861.877563,-148.256119,1373.300781,561.478333,-161.434723,1377.347534,236.878189,85.382751,1550.878052,524.017883,80.516739,1663.884155,212.225143
21.204184,1679.241943,890.552307,-179.504959,1627.132202,883.204529,-115.141426,1446.449463,860.849731,-147.032608,1367.149536,559.454529,-161.460083,1366.984741,235.616867,84.976906,1546.282227,523.093384,80.127182,1661.80127,211.918793
20.180727,1671.742188,890.37854,-180.301773,1618.631714,882.627197,-114.942566,1438.262085,859.895081,-145.78688,1360.676514,557.318054,-161.546539,1357.769287,234.297852,84.570251,1541.313354,522.209656,79.75322,1659.444946,211.725403
19.158787,1664.091797,890.241638,-181.101669,1609.992065,882.091736,-114.759262,1429.922607,859.032104,-144.566528,1353.880127,555.133972,-161.687973,1349.628174,232.924759,84.160873,1535.922607,521.378845,79.400208,1656.779663,211.674698
18.14694,1656.299927,890.149658,-181.899246,1601.245972,881.617065,-114.614769,1421.454468,858.279907,-143.425873,1346.783325,552.969543,-161.878311,1342.464478,231.515564,83.746979,1530.061035,520.613831,79.073174,1653.767944,211.798782
