XHIP1,YHIP1,ZHIP1,XHIP2,YHIP2,ZHIP2,XHIP3,YHIP3,ZHIP3,XHIP4,YHIP4,ZHIP4,XRightThigh1,YRightThigh1,ZRightThigh1,XRightThigh2,YRightThigh2,ZRightThigh2,XRightThigh3,YRightThigh3,ZRightThigh3,XLeftThigh1,YLeftThigh1,ZLeftThigh1,XLeftThigh2,YLeftThigh2,ZLeftThigh2,XLeftThigh3,YLeftThigh3,ZLeftThigh3,XLKNEE,YLKNEE,ZLKNEE,XLANK,YLANK,ZLANK,XLeftTibia3,YLeftTibia3,ZLeftTibia3,XRKNEE,YRKNEE,ZRKNEE,XRANK,YRANK,ZRANK,XRightTibia3,YRightTibia3,ZRightTibia3
,,,-19.379187,1895.326172,901.668396,164.815506,1690.441772,889.794373,-15.112588,1703.819458,876.328918,-68.862976,1846.694458,772.737244,-6.478426,1776.232788,525.700623,-59.327362,1759.393921,702.070129,247.894836,1822.56958,784.965332,226.743134,1630.570435,583.996521,257.811554,1713.174072,707.638245,229.369461,1624.850342,474.3927,205.201675,1628.433838,117.537643,228.770737,1643.247437,253.673248,-12.39461,1826.473022,435.104645,,,,,,
,,,-18.735714,1886.142944,900.754578,164.76236,1680.497437,888.110046,-15.146333,1694.707886,874.950562,-69.131737,1839.187988,772.445129,-6.739202,1770.795776,524.914673,-59.40646,1751.998047,701.046082,247.3405,1811.527588,783.617188,224.483276,1624.864014,581.012329,257.631165,1703.6521,705.374084,227.043518,1615.75769,472.856476,204.00795,1601.947388,117.405251,227.166397,1624.065796,252.415894,-12.514042,1821.859497,434.790619,,,,,,
188.227951,1884.86438,886.570435,-17.901857,1876.950073,899.814636,164.621353,1670.090942,886.456055,-15.26795,1685.134277,873.602539,-69.042915,1830.806396,771.882996,-7.011741,1764.827637,524.134888,-59.468761,1744.306152,699.976563,247.359283,1800.896729,781.888123,222.769745,1614.491577,579.323792,257.107208,1694.016724,702.689758,224.781708,1606.810547,471.027832,202.417511,1576.400391,117.788635,225.542007,1605.293579,251.358353,-12.731876,1816.723755,434.392822,,,,,,
189.213242,1874.211914,884.895508,-16.931316,1867.508057,898.758667,164.334152,1659.57019,884.727112,-15.535189,1675.339233,872.406311,-68.914635,1822.238403,771.348816,-7.318618,1758.229614,523.20813,-59.591274,1736.321289,698.945374,247.481796,1789.929443,780.113098,221.400269,1605.097412,576.747131,256.686951,1684.044067,699.959656,222.678711,1597.913452,468.963654,200.545212,1552.028198,118.579964,223.850769,1586.931152,250.610565,-12.999949,1811.030029,433.973297,,,,,,
190.356689,1863.294678,883.204712,-15.758317,1857.951538,897.728027,163.920731,1648.952637,882.967773,-15.871882,1665.618042,871.28595,-68.708099,1813.485352,770.830017,-7.77064,1751.195923,522.312439,-59.736809,1728.0271,697.993347,247.726059,1778.673706,778.309143,220.145233,1596.210327,573.739319,256.388428,1673.783691,697.200562,220.476059,1588.862793,466.619812,198.77623,1529.095825,119.764091,222.19696,1569.378784,250.274841,-13.306754,1804.904663,433.548218,,,,,,
191.606384,1852.15271,881.517151,-14.490973,1848.240967,896.687439,163.428665,1638.090698,881.335632,-16.307669,1655.848389,870.293457,-68.389717,1804.486328,770.308044,-8.315462,1743.635742,521.450378,-60.017326,1719.581909,697.215698,248.020996,1767.176514,776.499939,218.465454,1586.986572,570.728516,255.045715,1662.920654,695.072449,217.99353,1579.56543,464.045288,197.132431,1507.800293,121.101517,220.544525,1552.920044,250.108032,-13.700603,1798.388184,433.197083,,,,,,
192.888168,1840.836914,879.825623,-13.18045,1838.327637,895.631287,162.85173,1627.058105,879.810303,-16.772989,1645875,869.361633,-67.937851,1795.273804,769.790222,-8.963892,1735.758301,520.711304,-60.318962,1710.852051,696.527954,248.267578,1755.392822,774.653931,217.031113,1577.463867,567.999573,255.112442,1652.006226,691.925293,215.345657,1569.880737,461.455688,195.436142,1488.513916,122.315865,218.780289,1537.554443,249.881149,-14.226396,1791.40979,432.914063,,,,,,
194.147736,1829.309448,878.111084,-11.877286,1828.148315,894.539673,162.287567,1615.598877,878.449707,-17.267492,1635.644531,868.519348,-67.339714,1785.749023,769.249512,-9.616848,1727.432617,519.940674,-60.653446,1701.758789,695.914978,248.476257,1743.343384,772.87793,215.426239,1566.900269,565.02356,254.247696,1640.518311,689.621277,213.337021,1559.44397,459.524658,193.475677,1471.425415,123.018227,217.091461,1523.03418,249.384399,-14.789822,1783.914795,432.560608,,,,,,
195.356674,1817.608154,876.427002,-10.607495,1817.653687,893.427612,161.784943,1603.880615,877.271118,-17.60931,1625.045166,867.659302,-66.684296,1775.776367,768.613342,-10.343966,1718.63855,519.243713,-60.969273,1692.265625,695.376587,248.717346,1731.08667,771.247009,213.709488,1555.928589,562.967163,253.317596,1628.412354,687.763428,211.751114,1548.190674,458.229309,191.288193,1456.584473,122.901039,215.435211,1509.450439,248.686066,-15.502806,1775.950073,432.213348,,,,,,
196.548859,1805.782593,874.943665,-9.397371,1806.779053,892.330322,161.424103,1592.098877,876.252625,-17.902035,1614.188843,866.864441,-65.981468,1765.424194,767.922241,-10.982156,1709.346313,518.526184,-61.158905,1682.308838,694.812805,249.026337,1718.637085,769.83075,212.349701,1544.340698,561.855896,252.468918,1615.771729,686.358398,210.354233,1536.069702,457.380676,189.174789,1444.167358,121.85376,213.663574,1496.807495,247.728485,-16.252893,1767.541138,431.887573,,,,,,
