XHIP1,YHIP1,ZHIP1,XHIP2,YHIP2,ZHIP2,XHIP3,YHIP3,ZHIP3,XRightThigh1,YRightThigh1,ZRightThigh1,XRightThigh3,YRightThigh3,ZRightThigh3,XLeftThigh1,YLeftThigh1,ZLeftThigh1,XLeftThigh3,YLeftThigh3,ZLeftThigh3,XLKNEE,YLKNEE,ZLKNEE,XLANK,YLANK,ZLANK,XLeftTibia3,YLeftTibia3,ZLeftTibia3,XRKNEE,YRKNEE,ZRKNEE,XRANK,YRANK,ZRANK,XRightTibia3,YRightTibia3,ZRightTibia3
31.326439,1756.026001,893.280273,-171.782257,1711.182495,889.085388,-113.308609,1528.017334,874.482483,-188.517502,1510.668701,732.221558,-201.723007,1620.750122,762.934265,109.695854,1699.460938,781.944458,126.639503,1623.293335,679.192688,-154.27124,1435.005127,562.619202,-166.555313,1567.744995,253.856064,-169.995224,1442.998413,458.312866,89.949547,1587.220459,534.433289,84.605019,1675.37793,217.855515,92.02433,1612.825806,427.883331
30.706894,1750.588013,893.08136,-172.245453,1705.637329,888.794739,-113.917358,1522.519653,873.35553,-189.904343,1505.668213,732.387512,-202.370865,1616.07312,762.481567,109.341537,1694.907227,781.676453,126.33371,1619.423096,678.528748,-154.382614,1428.873657,564.616211,-165.619095,1545.061279,251.643356,-169.252197,1434.767578,460.649475,89.531906,1584.610352,533.551514,84.293152,1674.978882,217.334915,91.828613,1611.056152,427.11203
30.042875,1744.974609,892.873047,-172.743958,1699.817993,888.461548,-114.435333,1516.78064,872.217651,-191.099167,1500.427612,732.31958,-202.964157,1611.069336,761.97052,108.958984,1690.190918,781.401855,126.01535,1615.411011,677.839905,-154.3647,1422.932251,566.160461,-164.783066,1523.400024,249.601517,-168.469849,1426.827881,462.642914,89.113693,1581.886719,532.651611,83.966476,1674.463989,216.806808,91.599129,1609.179932,426.331696
29.334465,1739.185547,892.655518,-173.27774,1693.724854,888.085815,-114.862679,1510.799927,871.069153,-192.101624,1494.945801,732.018982,-203.502792,1605.738525,761.401367,108.54821,1685.31189,781.120728,125.684319,1611.25647,677.126343,-154.216446,1417.176392,567.253357,-164.046646,1502.765381,247.728531,-167.648758,1419.176514,464.292572,88.694992,1579.048706,531.733643,83.625114,1673.832886,216.271545,91.335991,1607.195923,425.542297
28.581919,1733.221191,892.429138,-173.846634,1687.358154,887.668213,-115.199913,1504.577881,869.910828,-192.911194,1489.220215,731.489014,-203.986801,1600.080078,760.774841,108.109314,1680.269775,780.833191,125.340256,1606.957764,676.388611,-153.935654,1411.591919,567.898865,-163.408401,1483.167847,246.018616,-166.790833,1411.805664,465.597626,88.27607,1576.092896,530.79834,83.269402,1673.083862,215.730026,91.039528,1605.10083,424.744202
27.785833,1727.081299,892.19458,-174.450302,1680.718994,887.209534,-115.448212,1498.115112,868.744385,-193.527191,1483.246338,730.73645,-204.416229,1594.093872,760.092651,107.642502,1675.062988,780.539856,124.982361,1602.512085,675.627869,-153.519592,1406.151489,568.105469,-162.866013,1464.627197,244.460373,-165.899673,1404.700684,466.556427,87.857391,1573.012939,529.846802,82.900009,1672.213867,215.18425,90.710419,1602.887817,423.93811
26.947338,1720.765869,891.953369,-175.088074,1673.810059,886.711731,-115.609871,1491.41272,867.572754,-193.949646,1477.017212,729.772705,-204.791122,1587.779785,759.357483,107.148087,1669.689819,780.241882,124.609329,1597.914307,674.846497,-152.965714,1400.812744,567.887085,-162.416534,1447.171631,243.035583,-164.9814,1397.838013,467.167297,87.439583,1569.797241,528.881226,82.518166,1671.217041,214.638077,90.349701,1600.545044,423.125519
26.068316,1714.275269,891.707397,-175.758682,1666.63501,886.177856,-115.688744,1484.473755,866.400818,-194.180191,1470.525635,728.614868,-205.111908,1581.139404,758.57373,106.626579,1664.146729,779.940674,124.219147,1593.157227,674.048035,-152.2733,1395.516724,567.265564,-162.056656,1430.837402,241.719101,-164.044647,1391.184448,467.429474,87.023384,1566.429321,527.905273,82.125809,1670.084595,214.097595,89.958832,1598.054321,422.308624
25.151602,1707.609863,891.460022,-176.460144,1659.201172,885.612671,-115.690758,1477.301758,865.235291,-194.223236,1463.76416,727.285828,-205.379272,1574.177734,757.747559,106.078636,1658.42981,779.638367,123.809059,1588.230225,673.237915,-151.445038,1390.193359,566.271179,-161.782745,1415.661621,240.479767,-163.100906,1384.697998,467.344604,86.609444,1562.885864,526.923706,81.725594,1668.803833,213.571854,89.539429,1595.390381,421.490875
24.201143,1700.771484,891.215149,-177.189667,1651.517944,885.022705,-115.624344,1469.902954,864.084961,-194.087173,1456.729004,725.81427,-205.594803,1566.902832,756.887451,105.505135,1652.533691,779.337646,123.375595,1583.12085,672.423218,-150.488617,1384.765015,564.942749,-161.590805,1401.677002,239.282654,-162.164215,1378.330322,466.918518,86.198151,1559.137207,525.943115,81.321053,1667.358154,213.073227,89.093216,1592.520874,420.677063
